Index,Reference,Generated
0,es grünt und blüht so schön in deutschland wunderbares wetter herrlicher sonnenschein blühende wiesen.,es grünt und blüht so schön in deutschland herrlicher sonnenschein in süddeutschland.
1,im westen und südwesten bleibt es heute nacht trocken aber auch sonst kaum schauer.,im westen und südwesten bleibt es heute nacht trocken aber auch sonst kaum schauer.
2,am sonntag ändert sich an diesem wetter wenig auch die neue woche startet unbeständig und noch etwas kühler.,am sonntag ändert sich an diesem wetter wenig auch die neue woche startet unbeständig und noch etwas kühler.
3,am freitag in der südosthälfte zunächst noch meist regen sonst schnee an den küsten ist es sehr windig.,am freitag in der südosthälfte zunächst meist regen sonst schnee an den küsten ist es sehr windig.
4,und die wetterverteilung morgen sieht ähnlich aus wie heute nacht das heißt von der ostsee bis zum schwarzwald und zum emsland zum teil regen.,und morgen ist das ganze dann so richtig durchwachsen das heißt heute nacht schon an der ostsee bis zum schwarzwald und zum emsland zum teil wieder mit regen.
5,am mittwoch viele wolken und gebietsweise regen oder schauer in alpennähe örtlich auch gewitter.,am mittwoch viele wolken und gebietsweise regen oder schauer in alpennähe örtlich auch gewitter.
6,morgen hängen dann noch so ein paar regenreste im südosten im norden kommt dann schon wieder neuer regen an und nach süden hin wird es dann langsam freundlicher.,morgen hängen dann noch so ein paar regenreste im südosten im norden kommt dann schon wieder neuer regen an und nach süden hin wird es dann langsam freundlicher.
7,auch am dienstag scheint verbreitet die sonne und es wird etwas milder.,auch am dienstag scheint verbreitet die sonne und es wird etwas milder.
8,morgen erwartet uns noch unbeständiges wetter.,morgen erwartet uns noch unbeständiges wetter.
9,am freitag ist es in der südwesthälfte weiterhin sonnig in der nordosthälfte viele wolken und stellenweise etwas regen.,am freitag ist es in der südwesthälfte weiterhin sonnig in der nordosthälfte viele wolken und stellenweise etwas regen.
10,guten abend liebe zuschauer.,guten abend liebe zuschauer.
11,am tag ein grad im vogtland und elf grad an der nordsee.,am tag ein grad im vogtland und elf grad an der nordsee.
12,und nun die wettervorhersage für morgen dienstag den elften mai.,und nun die wettervorhersage für morgen dienstag den elften mai.
13,der wind weht morgen nur schwach im bergland auch mal mäßig.,der wind weht schwach im bergland auch mal mäßig.
14,heute nacht ist der himmel verbreitet sternenklar örtlich bildet sich nebel.,heute nacht ist der himmel meist bedeckt nur hier und da bildet sich nebel.
15,am tag zwischen ostsee und erzgebirge recht freundliches wetter sonst viele wolken und es regnet mancherorts.,am tag ist es zwischen ostsee und erzgebirge recht freundlich sonst viele wolken und es regnet mancherorts.
16,heute nacht kühlt es ab auf werte zwischen sechzehn und elf grad.,heute nacht kühlt es ab auf werte zwischen sechzehn und elf grad.
17,am mittwoch deutlich kühler.,am mittwoch deutlich kühler.
18,der ableger des azorenhoch sorgt morgen für mehr sonnenschein und zusammen mit warmluft aus spanien auch für steigende temperaturen.,ein ableger des azorenhochs beschert uns morgen mehr sonnenschein und zusammen mit warmluft aus spanien auch steigende temperaturen.
19,daher gestaltet sich das wetter etwas wechselhafter.,das wetter ändert sich wieder.
20,wir bekommen sogar sommerliche werte im westen allerdings besteht immer ein kleines risiko für schauer oder gewitter auch in alpennähe.,und die nächsten tage werden nach etwas zögern aussehen im westen gibt es allerdings noch einzelne schauer oder gewitter auch wieder am alpenrand.
21,im übrigen land scheint häufig die sonne vor allem im nordwesten gibt es einzelne schauer.,im übrigen land scheint häufig die sonne vor allem im nordwesten gibt es einzelne schauer.
22,und nun die wettervorhersage für morgen mittwoch den sechsten juli.,und nun die wettervorhersage für morgen mittwoch den sechsten juli.
23,liebe zuschauer guten abend.,liebe zuschauer guten abend.
24,ungestört scheint sie an dem alpen und dem erzgebirge.,ungestört scheint sie an dem alpen und dem erzgebirge.
25,und nun die wettervorhersage für morgen montag den dreißigsten mai.,und nun die wettervorhersage für morgen montag den dreißigsten mai.
26,am donnerstag wird es überwiegend freundlich und auch etwas wärmer.,am donnerstag wird es überwiegend freundlich und auch etwas wärmer.
27,im süden schwacher sonst mäßiger im norden frischer südwestwind an der küste bläst er stark mit sturmböen.,im süden schwacher sonst mäßiger im norden frischer wind an der küste bläst er stark mit stürmischen böen.
28,am sonntag im westen und nordwesten dichte wolken und mitunter kräftige schauer oder gewitter.,am sonntag bilden sich im westen und nordwesten dichte wolken mit örtlichen schauern und gewittern.
